"Gemeente","Aantal"
"Aalsmeer",1
"Aalten",2
"Achtkarspelen",0
"Alblasserdam",0
"Albrandswaard",4
"Alkmaar",1
"Almelo",0
"Almere",15
"Alphen aan den Rijn",16
"Alphen-Chaam",0
"Altena",2
"Ameland",0
"Amersfoort",8
"Amstelveen",14
"Amsterdam",203
"Apeldoorn",23
"Appingedam",0
"Arnhem",53
"Assen",3
"Asten",3
"Baarle-Nassau",0
"Baarn",3
"Barendrecht",10
"Barneveld",4
"Beek",0
"Beekdaelen",1
"Beemster",1
"Beesel",3
"Berg en Dal",15
"Bergeijk",3
"Bergen (L.)",2
"Bergen (NH.)",0
"Bergen op Zoom",8
"Berkelland",8
"Bernheze",2
"Best",4
"Beuningen",1
"Beverwijk",4
"Bladel",6
"Blaricum",0
"Bloemendaal",4
"Bodegraven-Reeuwijk",1
"Boekel",0
"Borger-Odoorn",0
"Borne",0
"Borsele",0
"Boxmeer",4
"Boxtel",18
"Breda",14
"Brielle",1
"Bronckhorst",1
"Brummen",1
"Brunssum",4
"Bunnik",1
"Bunschoten",1
"Buren",7
"Capelle aan den IJssel",12
"Castricum",0
"Coevorden",0
"Cranendonck",6
"Cuijk",5
"Culemborg",2
"Dalfsen",2
"Dantumadiel",0
"De Bilt",1
"De Fryske Marren",1
"De Ronde Venen",2
"De Wolden",2
"Delft",7
"Delfzijl",0
"Den Helder",2
"Deurne",10
"Deventer",32
"Diemen",3
"Dinkelland",1
"Doesburg",0
"Doetinchem",3
"Dongen",2
"Dordrecht",45
"Drechterland",0
"Drimmelen",1
"Dronten",2
"Druten",0
"Duiven",2
"Echt-Susteren",0
"Edam-Volendam",3
"Ede",3
"Eemnes",0
"Eersel",0
"Eijsden-Margraten",3
"Eindhoven",17
"Elburg",6
"Emmen",1
"Enkhuizen",0
"Enschede",4
"Epe",3
"Ermelo",13
"Etten-Leur",11
"Geertruidenberg",0
"Geldrop-Mierlo",2
"Gemert-Bakel",12
"Gennep",3
"Gilze en Rijen",3
"Goeree-Overflakkee",0
"Goes",0
"Goirle",0
"Gooise Meren",3
"Gorinchem",1
"Gouda",9
"Grave",1
"Groningen",4
"Gulpen-Wittem",1
"Haaksbergen",0
"Haaren",2
"Haarlem",5
"Haarlemmermeer",7
"Halderberge",1
"Hardenberg",0
"Harderwijk",8
"Hardinxveld-Giessendam",0
"Harlingen",0
"Hattem",0
"Heemskerk",7
"Heemstede",2
"Heerde",1
"Heerenveen",2
"Heerhugowaard",5
"Heerlen",12
"Heeze-Leende",7
"Heiloo",0
"Hellendoorn",0
"Hellevoetsluis",4
"Helmond",33
"Hendrik-Ido-Ambacht",8
"Hengelo",2
"Het Hogeland",2
"Heumen",3
"Heusden",4
"Hillegom",0
"Hilvarenbeek",4
"Hilversum",1
"Hoeksche Waard",6
"Hof van Twente",0
"Hollands Kroon",0
"Hoogeveen",0
"Hoorn",6
"Horst aan de Maas",7
"Houten",3
"Huizen",8
"Hulst",0
"IJsselstein",3
"Kaag en Braassem",0
"Kampen",3
"Kapelle",0
"Katwijk",57
"Kerkrade",4
"Koggenland",1
"Krimpen aan den IJssel",6
"Krimpenerwaard",5
"Laarbeek",2
"Landerd",3
"Landgraaf",1
"Landsmeer",0
"Langedijk",0
"Lansingerland",6
"Laren",0
"Leeuwarden",6
"Leiden",11
"Leiderdorp",4
"Leidschendam-Voorburg",13
"Lelystad",14
"Leudal",1
"Leusden",2
"Lingewaard",6
"Lisse",0
"Lochem",0
"Loon op Zand",0
"Lopik",0
"Loppersum",0
"Losser",0
"Maasdriel",3
"Maasgouw",1
"Maassluis",1
"Maastricht",15
"Medemblik",2
"Meerssen",1
"Meierijstad",6
"Meppel",6
"Middelburg",0
"Midden-Delfland",3
"Midden-Drenthe",0
"Midden-Groningen",0
"Mill en Sint Hubert",1
"Moerdijk",2
"Molenlanden",3
"Montferland",13
"Montfoort",3
"Mook en Middelaar",2
"Neder-Betuwe",7
"Nederweert",3
"Nieuwegein",6
"Nieuwkoop",1
"Nijkerk",2
"Nijmegen",24
"Nissewaard",6
"Noardeast-Fryslân",2
"Noord-Beveland",0
"Noordenveld",3
"Noordoostpolder",0
"Noordwijk",1
"Nuenen, Gerwen en Nederwetten",1
"Nunspeet",2
"Oegstgeest",1
"Oirschot",2
"Oisterwijk",0
"Oldambt",0
"Oldebroek",9
"Oldenzaal",0
"Olst-Wijhe",1
"Ommen",1
"Oost Gelre",3
"Oosterhout",3
"Ooststellingwerf",0
"Oostzaan",0
"Opmeer",0
"Opsterland",0
"Oss",15
"Oude IJsselstreek",0
"Ouder-Amstel",5
"Oudewater",0
"Overbetuwe",5
"Papendrecht",6
"Peel en Maas",2
"Pekela",0
"Pijnacker-Nootdorp",4
"Purmerend",10
"Putten",4
"Raalte",1
"Reimerswaal",1
"Renkum",2
"Renswoude",0
"Reusel-De Mierden",0
"Rheden",7
"Rhenen",2
"Ridderkerk",16
"Rijssen-Holten",4
"Rijswijk",11
"Roerdalen",1
"Roermond",4
"Roosendaal",6
"Rotterdam",192
"Rozendaal",0
"Rucphen",1
"s-Gravenhage",180
"Schagen",0
"Scherpenzeel",1
"Schiedam",9
"Schiermonnikoog",0
"Schouwen-Duiveland",11
"Simpelveld",0
"Sint Anthonis",4
"Sint-Michielsgestel",5
"Sittard-Geleen",8
"Sliedrecht",5
"Sluis",0
"Smallingerland",1
"Soest",7
"Someren",6
"Son en Breugel",0
"Stadskanaal",0
"Staphorst",0
"Stede Broec",1
"Steenbergen",0
"Steenwijkerland",0
"Stein",1
"Stichtse Vecht",2
"Súdwest-Fryslân",3
"Terneuzen",1
"Terschelling",0
"Texel",0
"Teylingen",6
"Tholen",10
"Tiel",20
"Tilburg",31
"Tubbergen",2
"Twenterand",0
"Tynaarlo",1
"Tytsjerksteradiel",1
"Uden",2
"Uitgeest",0
"Uithoorn",7
"Urk",2
"Utrecht",113
"Utrechtse Heuvelrug",6
"Vaals",0
"Valkenburg aan de Geul",1
"Valkenswaard",2
"Veendam",0
"Veenendaal",14
"Veere",0
"Veldhoven",1
"Velsen",6
"Venlo",6
"Venray",16
"Vijfheerenlanden",7
"Vlaardingen",10
"Vlieland",0
"Vlissingen",0
"Voerendaal",2
"Voorschoten",3
"Voorst",7
"Vught",4
"Waadhoeke",2
"Waalre",1
"Waalwijk",25
"Waddinxveen",3
"Wageningen",1
"Wassenaar",1
"Waterland",2
"Weert",6
"Weesp",2
"West Betuwe",21
"West Maas en Waal",0
"Westerkwartier",1
"Westerveld",0
"Westervoort",0
"Westerwolde",0
"Westland",14
"Weststellingwerf",0
"Westvoorne",0
"Wierden",0
"Wijchen",2
"Wijdemeren",0
"Wijk bij Duurstede",4
"Winterswijk",2
"Woensdrecht",3
"Woerden",5
"Wormerland",0
"Woudenberg",1
"Zaanstad",20
"Zaltbommel",2
"Zandvoort",0
"Zeewolde",0
"Zeist",26
"Zevenaar",7
"Zoetermeer",23
"Zoeterwoude",0
"Zuidplas",18
"Zundert",15
"Zutphen",3
"Zwartewaterland",2
"Zwijndrecht",8
"Zwolle",7
"'s-Hertogenbosch",15
"Aa en Hunze",0
"Aalsmeer",1
"Aalten",3
"Achtkarspelen",0
"Alblasserdam",1
"Albrandswaard",4
"Alkmaar",2
"Almelo",2
"Almere",17
"Alphen aan den Rijn",4
"Alphen-Chaam",0
"Altena",5
"Ameland",0
"Amersfoort",7
"Amstelveen",4
"Amsterdam",95
"Apeldoorn",26
"Appingedam",0
"Arnhem",60
"Assen",0
"Asten",1
"Baarle-Nassau",0
"Baarn",2
"Barendrecht",6
"Barneveld",5
"Beek",1
"Beekdaelen",8
"Beemster",4
"Beesel",0
"Berg en Dal",11
"Bergeijk",0
"Bergen (L.)",0
"Bergen (NH.)",12
"Bergen op Zoom",22
"Berkelland",15
"Bernheze",8
"Best",3
"Beuningen",4
"Beverwijk",3
"Bladel",3
"Blaricum",2
"Bloemendaal",0
"Bodegraven-Reeuwijk",2
"Boekel",0
"Borger-Odoorn",0
"Borne",0
"Borsele",1
"Boxmeer",5
"Boxtel",18
"Breda",8
"Brielle",0
"Bronckhorst",2
"Brummen",0
"Brunssum",7
"Bunnik",2
"Bunschoten",2
"Buren",8
"Capelle aan den IJssel",11
"Castricum",4
"Coevorden",1
"Cranendonck",0
"Cuijk",0
"Culemborg",8
"Dalfsen",0
"Dantumadiel",0
"De Bilt",17
"De Fryske Marren",5
"De Ronde Venen",9
"De Wolden",1
"Delft",1
"Delfzijl",1
"Den Helder",0
"Deurne",14
"Deventer",13
"Diemen",3
"Dinkelland",0
"Doesburg",0
"Doetinchem",4
"Dongen",5
"Dordrecht",86
"Drechterland",1
"Drimmelen",1
"Dronten",6
"Druten",3
"Duiven",3
"Echt-Susteren",4
"Edam-Volendam",22
"Ede",9
"Eemnes",0
"Eersel",4
"Eijsden-Margraten",6
"Eindhoven",23
"Elburg",16
"Emmen",1
"Enkhuizen",0
"Enschede",13
"Epe",1
"Ermelo",9
"Etten-Leur",15
"Geertruidenberg",1
"Geldrop-Mierlo",2
"Gemert-Bakel",10
"Gennep",0
"Gilze en Rijen",2
"Goeree-Overflakkee",4
"Goes",2
"Goirle",4
"Gooise Meren",2
"Gorinchem",3
"Gouda",8
"Grave",2
"Groningen",1
"Gulpen-Wittem",2
"Haaksbergen",1
"Haaren",3
"Haarlem",6
"Haarlemmermeer",6
"Halderberge",2
"Hardenberg",0
"Harderwijk",20
"Hardinxveld-Giessendam",1
"Harlingen",0
"Hattem",0
"Heemskerk",2
"Heemstede",0
"Heerde",0
"Heerenveen",2
"Heerhugowaard",1
"Heerlen",12
"Heeze-Leende",1
"Heiloo",0
"Hellendoorn",1
"Hellevoetsluis",2
"Helmond",26
"Hendrik-Ido-Ambacht",13
"Hengelo",2
"Het Hogeland",0
"Heumen",0
"Heusden",2
"Hillegom",0
"Hilvarenbeek",2
"Hilversum",5
"Hoeksche Waard",16
"Hof van Twente",1
"Hollands Kroon",0
"Hoogeveen",3
"Hoorn",0
"Horst aan de Maas",0
"Houten",11
"Huizen",3
"Hulst",2
"IJsselstein",19
"Kaag en Braassem",1
"Kampen",9
"Kapelle",1
"Katwijk",13
"Kerkrade",6
"Koggenland",1
"Krimpen aan den IJssel",2
"Krimpenerwaard",22
"Laarbeek",5
"Landerd",5
"Landgraaf",6
"Landsmeer",0
"Langedijk",0
"Lansingerland",5
"Laren",1
"Leeuwarden",0
"Leiden",5
"Leiderdorp",0
"Leidschendam-Voorburg",4
"Lelystad",11
"Leudal",8
"Leusden",3
"Lingewaard",12
"Lisse",0
"Lochem",5
"Loon op Zand",3
"Lopik",1
"Loppersum",0
"Losser",2
"Maasdriel",2
"Maasgouw",2
"Maassluis",1
"Maastricht",55
"Medemblik",1
"Meerssen",8
"Meierijstad",3
"Meppel",6
"Middelburg",0
"Midden-Delfland",0
"Midden-Drenthe",0
"Midden-Groningen",1
"Mill en Sint Hubert",2
"Moerdijk",4
"Molenlanden",9
"Montferland",1
"Montfoort",3
"Mook en Middelaar",2
"Neder-Betuwe",9
"Nederweert",0
"Nieuwegein",15
"Nieuwkoop",1
"Nijkerk",2
"Nijmegen",33
"Nissewaard",4
"Noardeast-Fryslân",1
"Noord-Beveland",1
"Noordenveld",0
"Noordoostpolder",1
"Noordwijk",2
"Nuenen, Gerwen en Nederwetten",1
"Nunspeet",8
"Oegstgeest",1
"Oirschot",3
"Oisterwijk",8
"Oldambt",0
"Oldebroek",6
"Oldenzaal",0
"Olst-Wijhe",1
"Ommen",2
"Oost Gelre",11
"Oosterhout",6
"Ooststellingwerf",0
"Oostzaan",0
"Opmeer",0
"Opsterland",0
"Oss",11
"Oude IJsselstreek",3
"Ouder-Amstel",0
"Oudewater",4
"Overbetuwe",5
"Papendrecht",4
"Peel en Maas",8
"Pekela",0
"Pijnacker-Nootdorp",2
"Purmerend",3
"Putten",5
"Raalte",2
"Reimerswaal",2
"Renkum",9
"Renswoude",0
"Reusel-De Mierden",0
"Rheden",30
"Rhenen",7
"Ridderkerk",2
"Rijssen-Holten",6
"Rijswijk",10
"Roerdalen",1
"Roermond",2
"Roosendaal",7
"Rotterdam",115
"Rozendaal",0
"Rucphen",0
"s-Gravenhage",164
"Schagen",1
"Scherpenzeel",4
"Schiedam",20
"Schiermonnikoog",0
"Schouwen-Duiveland",21
"Simpelveld",2
"Sint Anthonis",2
"Sint-Michielsgestel",4
"Sittard-Geleen",7
"Sliedrecht",4
"Sluis",0
"Smallingerland",0
"Soest",4
"Someren",1
"Son en Breugel",3
"Stadskanaal",1
"Staphorst",0
"Stede Broec",0
"Steenbergen",4
"Steenwijkerland",0
"Stein",1
"Stichtse Vecht",10
"Súdwest-Fryslân",2
"Terneuzen",7
"Terschelling",0
"Texel",0
"Teylingen",1
"Tholen",15
"Tiel",21
"Tilburg",44
"Tubbergen",0
"Twenterand",2
"Tynaarlo",0
"Tytsjerksteradiel",0
"Uden",0
"Uitgeest",1
"Uithoorn",1
"Urk",4
"Utrecht",129
"Utrechtse Heuvelrug",8
"Vaals",0
"Valkenburg aan de Geul",3
"Valkenswaard",1
"Veendam",0
"Veenendaal",16
"Veere",1
"Veldhoven",3
"Velsen",18
"Venlo",6
"Venray",5
"Vijfheerenlanden",19
"Vlaardingen",14
"Vlieland",0
"Vlissingen",0
"Voerendaal",0
"Voorschoten",1
"Voorst",4
"Vught",1
"Waadhoeke",1
"Waalre",0
"Waalwijk",12
"Waddinxveen",7
"Wageningen",3
"Wassenaar",3
"Waterland",0
"Weert",4
"Weesp",3
"West Betuwe",16
"West Maas en Waal",3
"Westerkwartier",0
"Westerveld",0
"Westervoort",2
"Westerwolde",0
"Westland",10
"Weststellingwerf",0
"Westvoorne",0
"Wierden",0
"Wijchen",2
"Wijdemeren",2
"Wijk bij Duurstede",3
"Winterswijk",2
"Woensdrecht",0
"Woerden",4
"Wormerland",3
"Woudenberg",0
"Zaanstad",38
"Zaltbommel",3
"Zandvoort",0
"Zeewolde",5
"Zeist",16
"Zevenaar",6
"Zoetermeer",5
"Zoeterwoude",2
"Zuidplas",3
"Zundert",12
"Zutphen",7
"Zwartewaterland",5
"Zwijndrecht",5
"Zwolle",3
"'s-Hertogenbosch",8
"Aa en Hunze",0
"Aalsmeer",1
"Aalten",1
"Achtkarspelen",1
"Alblasserdam",3
"Albrandswaard",8
"Alkmaar",15
"Almelo",1
"Almere",52
"Alphen aan den Rijn",28
"Alphen-Chaam",1
"Altena",3
"Ameland",0
"Amersfoort",15
"Amstelveen",7
"Amsterdam",202
"Apeldoorn",12
"Appingedam",0
"Arnhem",15
"Assen",0
"Asten",0
"Baarle-Nassau",2
"Baarn",2
"Barendrecht",8
"Barneveld",13
"Beek",1
"Beekdaelen",7
"Beemster",0
"Beesel",0
"Berg en Dal",5
"Bergeijk",4
"Bergen (L.)",1
"Bergen (NH.)",22
"Bergen op Zoom",31
"Berkelland",3
"Bernheze",3
"Best",6
"Beuningen",7
"Beverwijk",5
"Bladel",6
"Blaricum",0
"Bloemendaal",3
"Bodegraven-Reeuwijk",7
"Boekel",1
"Borger-Odoorn",0
"Borne",1
"Borsele",4
"Boxmeer",1
"Boxtel",23
"Breda",15
"Brielle",1
"Bronckhorst",2
"Brummen",3
"Brunssum",9
"Bunnik",4
"Bunschoten",1
"Buren",2
"Capelle aan den IJssel",20
"Castricum",2
"Coevorden",0
"Cranendonck",3
"Cuijk",1
"Culemborg",2
"Dalfsen",0
"Dantumadiel",0
"De Bilt",24
"De Fryske Marren",6
"De Ronde Venen",3
"De Wolden",0
"Delft",10
"Delfzijl",0
"Den Helder",0
"Deurne",16
"Deventer",26
"Diemen",7
"Dinkelland",0
"Doesburg",0
"Doetinchem",4
"Dongen",1
"Dordrecht",126
"Drechterland",0
"Drimmelen",3
"Dronten",6
"Druten",0
"Duiven",1
"Echt-Susteren",4
"Edam-Volendam",18
"Ede",11
"Eemnes",3
"Eersel",3
"Eijsden-Margraten",10
"Eindhoven",31
"Elburg",7
"Emmen",1
"Enkhuizen",0
"Enschede",28
"Epe",4
"Ermelo",6
"Etten-Leur",6
"Geertruidenberg",0
"Geldrop-Mierlo",4
"Gemert-Bakel",3
"Gennep",0
"Gilze en Rijen",0
"Goeree-Overflakkee",10
"Goes",0
"Goirle",3
"Gooise Meren",7
"Gorinchem",4
"Gouda",8
"Grave",3
"Groningen",2
"Gulpen-Wittem",1
"Haaksbergen",2
"Haaren",7
"Haarlem",19
"Haarlemmermeer",43
"Halderberge",2
"Hardenberg",2
"Harderwijk",15
"Hardinxveld-Giessendam",3
"Harlingen",1
"Hattem",0
"Heemskerk",3
"Heemstede",0
"Heerde",7
"Heerenveen",2
"Heerhugowaard",3
"Heerlen",20
"Heeze-Leende",3
"Heiloo",3
"Hellendoorn",4
"Hellevoetsluis",4
"Helmond",21
"Hendrik-Ido-Ambacht",13
"Hengelo",6
"Het Hogeland",1
"Heumen",3
"Heusden",1
"Hillegom",3
"Hilvarenbeek",3
"Hilversum",17
"Hoeksche Waard",17
"Hof van Twente",1
"Hollands Kroon",2
"Hoogeveen",4
"Hoorn",0
"Horst aan de Maas",1
"Houten",5
"Huizen",8
"Hulst",0
"IJsselstein",5
"Kaag en Braassem",1
"Kampen",10
"Kapelle",1
"Katwijk",11
"Kerkrade",12
"Koggenland",0
"Krimpen aan den IJssel",5
"Krimpenerwaard",17
"Laarbeek",8
"Landerd",2
"Landgraaf",4
"Landsmeer",1
"Langedijk",2
"Lansingerland",8
"Laren",1
"Leeuwarden",4
"Leiden",17
"Leiderdorp",2
"Leidschendam-Voorburg",16
"Lelystad",10
"Leudal",4
"Leusden",2
"Lingewaard",5
"Lisse",3
"Lochem",5
"Loon op Zand",2
"Lopik",1
"Loppersum",0
"Losser",0
"Maasdriel",4
"Maasgouw",4
"Maassluis",8
"Maastricht",120
"Medemblik",0
"Meerssen",9
"Meierijstad",14
"Meppel",3
"Middelburg",4
"Midden-Delfland",2
"Midden-Drenthe",2
"Midden-Groningen",1
"Mill en Sint Hubert",0
"Moerdijk",6
"Molenlanden",4
"Montferland",2
"Montfoort",3
"Mook en Middelaar",0
"Neder-Betuwe",6
"Nederweert",0
"Nieuwegein",18
"Nieuwkoop",2
"Nijkerk",2
"Nijmegen",46
"Nissewaard",12
"Noardeast-Fryslân",2
"Noord-Beveland",2
"Noordenveld",0
"Noordoostpolder",6
"Noordwijk",4
"Nuenen, Gerwen en Nederwetten",4
"Nunspeet",10
"Oegstgeest",2
"Oirschot",1
"Oisterwijk",6
"Oldambt",0
"Oldebroek",4
"Oldenzaal",2
"Olst-Wijhe",3
"Ommen",0
"Oost Gelre",3
"Oosterhout",16
"Ooststellingwerf",0
"Oostzaan",0
"Opmeer",0
"Opsterland",0
"Oss",8
"Oude IJsselstreek",0
"Ouder-Amstel",1
"Oudewater",3
"Overbetuwe",5
